[Epoch 1 | Batch 163] Total IL loss: 1.2269
[Epoch 1 | Batch 164] Total IL loss: 1.5277
[Epoch 1 | Batch 165] Total IL loss: 1.3501
[Epoch 1 | Batch 166] Total IL loss: 1.3261
[Epoch 1 | Batch 167] Total IL loss: 1.2779
[Epoch 1 | Batch 168] Total IL loss: 1.2942
[Epoch 1 | Batch 169] Total IL loss: 1.3645
[Epoch 1 | Batch 170] Total IL loss: 1.1903
[Epoch 1 | Batch 171] Total IL loss: 1.3252
[Epoch 1 | Batch 172] Total IL loss: 1.3024
[Epoch 1 | Batch 173] Total IL loss: 1.2869
[Epoch 1 | Batch 174] Total IL loss: 1.1907
[Epoch 1 | Batch 175] Total IL loss: 1.2856
[Epoch 1 | Batch 176] Total IL loss: 1.3148
[Epoch 1 | Batch 177] Total IL loss: 1.2216
[Epoch 1 | Batch 178] Total IL loss: 1.2904
[Epoch 1 | Batch 179] Total IL loss: 1.3816
[Epoch 1 | Batch 180] Total IL loss: 1.3331
[Epoch 1 | Batch 181] Total IL loss: 1.1876
[Epoch 1 | Batch 182] Total IL loss: 1.3276
[Epoch 1 | Batch 183] Total IL loss: 1.2410
[Epoch 1 | Batch 184] Total IL loss: 1.2834
[Epoch 1 | Batch 185] Total IL loss: 1.2396
[Epoch 1 | Batch 186] Total IL loss: 1.2710
[Epoch 1 | Batch 187] Total IL loss: 1.4847
[Epoch 1 | Batch 188] Total IL loss: 1.2828
[Epoch 1 | Batch 189] Total IL loss: 1.2737
[Epoch 1 | Batch 190] Total IL loss: 1.3558
[Epoch 1 | Batch 191] Total IL loss: 1.3358
[Epoch 1 | Batch 192] Total IL loss: 1.2970
[Epoch 1 | Batch 193] Total IL loss: 1.3786
[Epoch 1 | Batch 194] Total IL loss: 1.2444
[Epoch 1 | Batch 195] Total IL loss: 1.3074
[Epoch 1 | Batch 196] Total IL loss: 1.1564
[Epoch 1 | Batch 197] Total IL loss: 1.3408
[Epoch 1 | Batch 198] Total IL loss: 1.4668
[Epoch 1 | Batch 199] Total IL loss: 1.2857
[Epoch 1 | Batch 200] Total IL loss: 1.2665
[Epoch 1 | Batch 201] Total IL loss: 1.2632
[Epoch 1 | Batch 202] Total IL loss: 1.1471
[Epoch 1 | Batch 203] Total IL loss: 1.2492
[Epoch 1 | Batch 204] Total IL loss: 1.2920
[Epoch 1 | Batch 205] Total IL loss: 1.2770
[Epoch 1 | Batch 206] Total IL loss: 1.2748
[Epoch 1 | Batch 207] Total IL loss: 1.2876
[Epoch 1 | Batch 208] Total IL loss: 1.2425
[Epoch 1 | Batch 209] Total IL loss: 1.3258
[Epoch 1 | Batch 210] Total IL loss: 1.2566
[Epoch 1 | Batch 211] Total IL loss: 1.2297
[Epoch 1 | Batch 212] Total IL loss: 1.2824
[Epoch 1 | Batch 213] Total IL loss: 1.2848
[Epoch 1 | Batch 214] Total IL loss: 1.2533
[Epoch 1 | Batch 215] Total IL loss: 1.2700
[Epoch 1 | Batch 216] Total IL loss: 1.2696
[Epoch 1 | Batch 217] Total IL loss: 1.4473
[Epoch 1 | Batch 218] Total IL loss: 1.3979
[Epoch 1 | Batch 219] Total IL loss: 1.1464
[Epoch 1 | Batch 220] Total IL loss: 1.1617
[Epoch 1 | Batch 221] Total IL loss: 1.1532
[Epoch 1 | Batch 222] Total IL loss: 1.2447
[Epoch 1 | Batch 223] Total IL loss: 1.3702
[Epoch 1 | Batch 224] Total IL loss: 1.2748
[Epoch 1 | Batch 225] Total IL loss: 1.1707
[Epoch 1 | Batch 226] Total IL loss: 1.3229
[Epoch 1 | Batch 227] Total IL loss: 1.3963
[Epoch 1 | Batch 228] Total IL loss: 1.1707
[Epoch 1 | Batch 229] Total IL loss: 1.1660
[Epoch 1 | Batch 230] Total IL loss: 1.1851
[Epoch 1 | Batch 231] Total IL loss: 1.3161
[Epoch 1 | Batch 232] Total IL loss: 1.2985
[Epoch 1 | Batch 233] Total IL loss: 1.2488
[Epoch 1 | Batch 234] Total IL loss: 1.3040
[Epoch 1 | Batch 235] Total IL loss: 1.1477
[Epoch 1 | Batch 236] Total IL loss: 1.1628
[Epoch 1 | Batch 237] Total IL loss: 1.2684
[Epoch 1 | Batch 238] Total IL loss: 1.2254
[Epoch 1 | Batch 239] Total IL loss: 1.1363
[Epoch 1 | Batch 240] Total IL loss: 1.1271
[Epoch 1 | Batch 241] Total IL loss: 1.2544
[Epoch 1 | Batch 242] Total IL loss: 1.2451
[Epoch 1 | Batch 243] Total IL loss: 1.2395
[Epoch 1 | Batch 244] Total IL loss: 1.2127
[Epoch 1 | Batch 245] Total IL loss: 1.2339
[Epoch 1 | Batch 246] Total IL loss: 1.1805
[Epoch 1 | Batch 247] Total IL loss: 1.2188
[Epoch 1 | Batch 248] Total IL loss: 1.3034
[Epoch 1 | Batch 249] Total IL loss: 1.2037
[Epoch 1 | Batch 250] Total IL loss: 1.3156
[Epoch 1 | Batch 251] Total IL loss: 1.1294
[Epoch 1 | Batch 252] Total IL loss: 1.2216
[Epoch 1 | Batch 253] Total IL loss: 1.2211
[Epoch 1 | Batch 254] Total IL loss: 1.0623
[Epoch 1 | Batch 255] Total IL loss: 1.2054
[Epoch 1 | Batch 256] Total IL loss: 1.3678
[Epoch 1 | Batch 257] Total IL loss: 1.4155
[Epoch 1 | Batch 258] Total IL loss: 1.1218
[Epoch 1 | Batch 259] Total IL loss: 1.2401
[Epoch 1 | Batch 260] Total IL loss: 1.2495
[Epoch 1 | Batch 261] Total IL loss: 1.3144
[Epoch 1 | Batch 262] Total IL loss: 1.1942
[Epoch 1 | Batch 263] Total IL loss: 1.2346
[Epoch 1 | Batch 264] Total IL loss: 1.3491
[Epoch 1 | Batch 265] Total IL loss: 1.1216
[Epoch 1 | Batch 266] Total IL loss: 1.2836
[Epoch 1 | Batch 267] Total IL loss: 1.2460
[Epoch 1 | Batch 268] Total IL loss: 1.2895
[Epoch 1 | Batch 269] Total IL loss: 1.2694
[Epoch 1 | Batch 270] Total IL loss: 1.2057
[Epoch 1 | Batch 271] Total IL loss: 1.0996
[Epoch 1 | Batch 272] Total IL loss: 1.1988
[Epoch 1 | Batch 273] Total IL loss: 1.1993
[Epoch 1 | Batch 274] Total IL loss: 1.4209
[Epoch 1 | Batch 275] Total IL loss: 1.2757
[Epoch 1 | Batch 276] Total IL loss: 1.2496
[Epoch 1 | Batch 277] Total IL loss: 1.3535
[Epoch 1 | Batch 278] Total IL loss: 1.2245
[Epoch 1 | Batch 279] Total IL loss: 1.2199
[Epoch 1 | Batch 280] Total IL loss: 1.2380
[Epoch 1 | Batch 281] Total IL loss: 1.1070
[Epoch 1 | Batch 282] Total IL loss: 1.1075
[Epoch 1 | Batch 283] Total IL loss: 1.2182
[Epoch 1 | Batch 284] Total IL loss: 1.2317
[Epoch 1 | Batch 285] Total IL loss: 1.0541
[Epoch 1 | Batch 286] Total IL loss: 1.3109
[Epoch 1 | Batch 287] Total IL loss: 1.0975
[Epoch 1 | Batch 288] Total IL loss: 1.0677
[Epoch 1 | Batch 289] Total IL loss: 1.2314
[Epoch 1 | Batch 290] Total IL loss: 1.3550
[Epoch 1 | Batch 291] Total IL loss: 1.3482
[Epoch 1 | Batch 292] Total IL loss: 1.2212
[Epoch 1 | Batch 293] Total IL loss: 1.1747
[Epoch 1 | Batch 294] Total IL loss: 1.2771
[Epoch 1 | Batch 295] Total IL loss: 1.2114
[Epoch 1 | Batch 296] Total IL loss: 1.2886
[Epoch 1 | Batch 297] Total IL loss: 1.0937
[Epoch 1 | Batch 298] Total IL loss: 1.2701
[Epoch 1 | Batch 299] Total IL loss: 1.1656
[Epoch 1 | Batch 300] Total IL loss: 1.1213
