[Epoch 1 | Batch 218] Total IL loss: 1.3655
[Epoch 1 | Batch 219] Total IL loss: 1.1999
[Epoch 1 | Batch 220] Total IL loss: 1.3612
[Epoch 1 | Batch 221] Total IL loss: 1.3013
[Epoch 1 | Batch 222] Total IL loss: 1.2557
[Epoch 1 | Batch 223] Total IL loss: 1.2814
[Epoch 1 | Batch 224] Total IL loss: 1.2125
[Epoch 1 | Batch 225] Total IL loss: 1.3002
[Epoch 1 | Batch 226] Total IL loss: 1.2221
[Epoch 1 | Batch 227] Total IL loss: 1.1045
[Epoch 1 | Batch 228] Total IL loss: 1.3419
[Epoch 1 | Batch 229] Total IL loss: 1.1409
[Epoch 1 | Batch 230] Total IL loss: 1.1946
[Epoch 1 | Batch 231] Total IL loss: 1.2428
[Epoch 1 | Batch 232] Total IL loss: 1.2996
[Epoch 1 | Batch 233] Total IL loss: 1.1782
[Epoch 1 | Batch 234] Total IL loss: 1.2959
[Epoch 1 | Batch 235] Total IL loss: 1.1819
[Epoch 1 | Batch 236] Total IL loss: 1.3168
[Epoch 1 | Batch 237] Total IL loss: 1.1827
[Epoch 1 | Batch 238] Total IL loss: 1.2486
[Epoch 1 | Batch 239] Total IL loss: 1.1416
[Epoch 1 | Batch 240] Total IL loss: 1.2663
[Epoch 1 | Batch 241] Total IL loss: 1.0401
[Epoch 1 | Batch 242] Total IL loss: 1.2991
[Epoch 1 | Batch 243] Total IL loss: 1.2193
[Epoch 1 | Batch 244] Total IL loss: 1.1953
[Epoch 1 | Batch 245] Total IL loss: 1.3890
[Epoch 1 | Batch 246] Total IL loss: 1.3692
[Epoch 1 | Batch 247] Total IL loss: 1.2199
[Epoch 1 | Batch 248] Total IL loss: 1.2463
[Epoch 1 | Batch 249] Total IL loss: 1.2784
[Epoch 1 | Batch 250] Total IL loss: 1.1310
[Epoch 1 | Batch 251] Total IL loss: 1.0836
[Epoch 1 | Batch 252] Total IL loss: 1.3362
[Epoch 1 | Batch 253] Total IL loss: 1.3710
[Epoch 1 | Batch 254] Total IL loss: 1.2238
[Epoch 1 | Batch 255] Total IL loss: 1.2970
[Epoch 1 | Batch 256] Total IL loss: 1.1922
[Epoch 1 | Batch 257] Total IL loss: 1.3204
[Epoch 1 | Batch 258] Total IL loss: 1.2662
[Epoch 1 | Batch 259] Total IL loss: 1.3784
[Epoch 1 | Batch 260] Total IL loss: 1.2061
[Epoch 1 | Batch 261] Total IL loss: 1.1932
[Epoch 1 | Batch 262] Total IL loss: 1.2490
[Epoch 1 | Batch 263] Total IL loss: 1.1202
[Epoch 1 | Batch 264] Total IL loss: 1.1767
[Epoch 1 | Batch 265] Total IL loss: 1.3178
[Epoch 1 | Batch 266] Total IL loss: 1.2281
[Epoch 1 | Batch 267] Total IL loss: 1.2024
[Epoch 1 | Batch 268] Total IL loss: 1.2900
[Epoch 1 | Batch 269] Total IL loss: 1.2050
[Epoch 1 | Batch 270] Total IL loss: 1.1845
[Epoch 1 | Batch 271] Total IL loss: 1.2787
[Epoch 1 | Batch 272] Total IL loss: 1.2563
[Epoch 1 | Batch 273] Total IL loss: 1.3151
[Epoch 1 | Batch 274] Total IL loss: 1.0984
[Epoch 1 | Batch 275] Total IL loss: 1.1879
[Epoch 1 | Batch 276] Total IL loss: 1.3631
[Epoch 1 | Batch 277] Total IL loss: 1.1430
[Epoch 1 | Batch 278] Total IL loss: 1.2588
[Epoch 1 | Batch 279] Total IL loss: 1.2332
[Epoch 1 | Batch 280] Total IL loss: 1.1347
[Epoch 1 | Batch 281] Total IL loss: 1.3000
[Epoch 1 | Batch 282] Total IL loss: 1.1595
[Epoch 1 | Batch 283] Total IL loss: 1.0765
[Epoch 1 | Batch 284] Total IL loss: 1.2207
[Epoch 1 | Batch 285] Total IL loss: 1.1833
[Epoch 1 | Batch 286] Total IL loss: 1.2566
[Epoch 1 | Batch 287] Total IL loss: 1.0528
[Epoch 1 | Batch 288] Total IL loss: 1.1990
[Epoch 1 | Batch 289] Total IL loss: 1.2302
[Epoch 1 | Batch 290] Total IL loss: 1.1823
[Epoch 1 | Batch 291] Total IL loss: 1.1969
[Epoch 1 | Batch 292] Total IL loss: 1.0978
[Epoch 1 | Batch 293] Total IL loss: 1.1877
[Epoch 1 | Batch 294] Total IL loss: 1.2128
[Epoch 1 | Batch 295] Total IL loss: 1.2219
[Epoch 1 | Batch 296] Total IL loss: 1.2835
[Epoch 1 | Batch 297] Total IL loss: 1.3548
[Epoch 1 | Batch 298] Total IL loss: 1.0253
[Epoch 1 | Batch 299] Total IL loss: 1.1873
[Epoch 1 | Batch 300] Total IL loss: 1.2282
[Epoch 1 | Batch 301] Total IL loss: 1.2354
[Epoch 1 | Batch 302] Total IL loss: 1.2490
[Epoch 1 | Batch 303] Total IL loss: 1.1850
[Epoch 1 | Batch 304] Total IL loss: 1.2108
[Epoch 1 | Batch 305] Total IL loss: 1.1447
[Epoch 1 | Batch 306] Total IL loss: 1.1489
[Epoch 1 | Batch 307] Total IL loss: 1.0828
[Epoch 1 | Batch 308] Total IL loss: 1.1587
[Epoch 1 | Batch 309] Total IL loss: 1.1934
[Epoch 1 | Batch 310] Total IL loss: 1.1631
[Epoch 1 | Batch 311] Total IL loss: 1.2307
[Epoch 1 | Batch 312] Total IL loss: 1.1318
[Epoch 1 | Batch 313] Total IL loss: 1.2083
[Epoch 1 | Batch 314] Total IL loss: 1.1358
[Epoch 1 | Batch 315] Total IL loss: 1.2294
[Epoch 1 | Batch 316] Total IL loss: 1.1367
[Epoch 1 | Batch 317] Total IL loss: 1.2186
[Epoch 1 | Batch 318] Total IL loss: 1.3124
[Epoch 1 | Batch 319] Total IL loss: 1.2765
[Epoch 1 | Batch 320] Total IL loss: 1.2200
[Epoch 1 | Batch 321] Total IL loss: 1.0632
[Epoch 1 | Batch 322] Total IL loss: 1.1543
[Epoch 1 | Batch 323] Total IL loss: 1.2555
[Epoch 1 | Batch 324] Total IL loss: 1.2467
[Epoch 1 | Batch 325] Total IL loss: 1.0999
[Epoch 1 | Batch 326] Total IL loss: 1.2374
[Epoch 1 | Batch 327] Total IL loss: 1.2469
[Epoch 1 | Batch 328] Total IL loss: 1.3184
[Epoch 1 | Batch 329] Total IL loss: 1.1075
[Epoch 1 | Batch 330] Total IL loss: 1.2943
[Epoch 1 | Batch 331] Total IL loss: 1.2352
[Epoch 1 | Batch 332] Total IL loss: 1.2508
[Epoch 1 | Batch 333] Total IL loss: 1.1921
[Epoch 1 | Batch 334] Total IL loss: 1.1540
[Epoch 1 | Batch 335] Total IL loss: 1.2045
